PR,QRS,QT,QTc,RR,P_amp,Q_depth,R_amp,ST,T_amp,T_area,RS_ratio,ST_slope
0.1,0.16,0.32,0.3318245423137361,0.93,0.06830149996901239,0.05079943783205691,0.29809494044888357,-0.020409659623557272,0.19045978256422275,0.6976164629805038,8.016339979940513,0.27960426322591697
0.1,0.11,0.32,0.3336230624913196,0.92,0.08275392734280407,0.03702276560958879,0.3099714455250091,-0.0016473280808672885,0.1991203090354494,0.5615719020956323,7.8459038124672835,0.631001592157629
0.08,0.08,0.31,0.32145502536643183,0.93,0.08102207652143735,0.04944461836108224,0.2990944981217745,-0.017409186560642453,0.19323336096701552,0.34669298540605104,4.990206816061396,0.7087851082034231
0.08,0.14,0.34,0.3506832237279898,0.94,0.0586880207216471,0.06874237996371141,0.29518222237346564,-0.04575354953765999,0.1759257185439282,0.2461229141297391,5.191180875603196,0.18514500009563784
0.06,0.1,0.34,0.3470110468942836,0.96,0.07856535949499228,0.06877839274585802,0.2601542466564024,-0.016489435444859816,0.18213764395573664,0.0850748721539414,4.551379390555463,0.6778332241974887
0.09,0.14,0.32,0.32659863237109044,0.96,0.08729760553506688,0.07405482145433256,0.28051131170681076,-0.020433338001490005,0.1822160111433004,0.2603254789148391,5.889196209288136,0.4533028767511381
0.05,0.12,0.35,0.36099743619057767,0.94,0.10315937766684097,0.05262349006908036,0.3190291088461398,0.012769683384402677,0.186994947339169,0.47090246450967166,41.78478808885944,0.3400789545755589
0.08,0.07,0.32,0.33545114775101387,0.91,0.07889834933026116,0.05512765086589942,0.28329607863857054,-0.026401799831246228,0.19822897694384833,0.22848043745878094,8.510001243624517,0.11479968796450682
0.08,0.09,0.33,0.3350642344940943,0.97,0.05955043656631823,0.08082256020421481,0.27011307621192693,-0.0641127231468399,0.1550904613903299,-0.5318849400174134,2.7550238667953026,0.5655183542074737
